id,category,difficulty,question,option_a,option_b,option_c,option_d,answer
1,CI/CD,Easy,What does CI/CD stand for?,Continuous Integration / Continuous Delivery,Central Index / Central Deployment,Code Inspection / Code Deployment,Continuous Inspection / Continuous Development,A
2,AI Agents,Easy,"In an AI agent architecture, what is a “tool call”?",A request the agent makes to invoke an external function or API,A phone call to support,A retraining event,A user login,A
3,Security,Easy,What is the principle of least privilege?,"Users/services get more access than needed, for flexibility",Users/services are granted only the minimum access needed to perform their tasks,All users share admin access,Access is granted permanently once approved,B
4,Tech Standards,Easy,What does SBOM stand for?,Software Bill of Materials,Secure Binary Object Model,System Backup and Operations Manual,Software Build Operations Matrix,A
5,Patching,Easy,What is a CVE?,A Common Vulnerabilities and Exposures identifier,A Continuous Verification Engine,A Certified Vendor Extension,A Code Version Entry,A
6,CI/CD,Easy,Which pipeline stage typically runs automated security scanning before code merges?,Deployment,Pre-merge / build stage (SAST scanning),Post-incident review,User acceptance testing only,B
7,AI Agents,Easy,What is “prompt injection” in the context of AI agents?,A technique to speed up model inference,An attack where malicious input manipulates an agent into ignoring instructions or performing unintended actions,A method for fine-tuning models,A type of database indexing,B
8,Security,Easy,What does RBAC stand for?,Role-Based Access Control,Rule-Based Authentication Code,Remote Backup Access Console,Resource-Based Audit Control,A
9,Patching,Easy,"Under Semantic Versioning (MAJOR.MINOR.PATCH), which part increases for a backward-compatible bug fix?",MAJOR,MINOR,PATCH,"None, the version stays the same",C
10,CI/CD,Easy,What is the main purpose of a branch protection rule in source control?,To prevent direct pushes to critical branches and require review/checks before merging,To hide the branch from other developers,To automatically delete old branches,To rename branches,A
11,AI Agents,Medium,Which guardrail best mitigates an AI agent being tricked into exfiltrating sensitive data via a malicious webpage it reads?,Increasing the model's context window,Sandboxing tool access with output/data egress filtering and destination allow-listing,Using a larger model,Disabling logging,B
12,CI/CD,Medium,What is the purpose of SAST in a secure pipeline?,Static Application Security Testing — analyzing source code for vulnerabilities without executing it,Simulated Attack Stress Testing on production,Server Availability Stress Testing,Software Asset Storage Tracking,A
13,CI/CD,Medium,"What is DAST, and when is it typically run?","Dynamic Application Security Testing, run against a running application","Data Archival Storage Tool, run during backups","Deployment Authorization Signing Token, run at release","Direct Access Security Token, run at login",A
14,Security,Medium,"In a Zero Trust security model, what is the core assumption?",Internal network traffic is always trusted,"No user or device is trusted by default, regardless of network location — every request is verified",Only external traffic needs verification,Trust is granted permanently after the first login,B
15,Tech Standards,Medium,Which OWASP project specifically addresses risks unique to Large Language Model applications?,OWASP Top 10 for LLM Applications,OWASP ZAP,OWASP Dependency-Check,OWASP ASVS only,A
16,Patching,Medium,What is the recommended practice for handling a critical CVE affecting a production dependency?,Wait for the next quarterly release cycle,"Assess exploitability/impact, prioritize, and apply a patch or mitigation via an expedited change process",Ignore it if no exploit is public yet,Remove all logging to avoid detection,B
17,AI Agents,Medium,Why should an AI agent's tool permissions be scoped per-task rather than granted broadly at session start?,It reduces the blast radius if the agent is manipulated into misusing a tool,It makes the agent respond faster,It reduces token usage,It is required by every programming language,A
18,CI/CD,Medium,"What is the purpose of signing container images and build artifacts (e.g., via Sigstore/cosign)?",To compress the image size,To provide provenance and verify the artifact hasn't been tampered with before deployment,To speed up the build,To permanently encrypt the source code,B
19,Security,Medium,What is “secrets sprawl” in a DevOps context?,Secrets being properly stored in a central vault,"Credentials/API keys scattered across code, config files, and pipelines instead of centrally managed",A type of encryption algorithm,A backup strategy,B
20,Tech Standards,Medium,What does the SLSA framework primarily aim to improve?,UI accessibility,"Supply chain integrity of build artifacts, from source to deployment",Employee onboarding,Marketing analytics,B
21,AI Agents,Medium,What is “human-in-the-loop” (HITL) approval used for in agentic workflows?,Automatically approving all agent actions,Requiring human review/approval before high-risk or irreversible agent actions execute,Replacing all automation with manual work,Logging agent errors only,B
22,CI/CD,Medium,What is Infrastructure as Code (IaC) scanning primarily used to detect?,Grammar errors in documentation,"Misconfigurations and security risks in infrastructure templates (e.g., Terraform, CloudFormation) before deployment",Slow network speeds,UI design flaws,B
23,AI Agents,Hard,"An AI agent orchestrates multiple sub-agents/tools with unchecked “tool chaining,” where one tool's output automatically feeds the next. What's the primary security risk?",Increased latency only,"Compounding of untrusted data across tools, letting a single injected instruction escalate into multiple unauthorized actions",Higher cloud costs only,"No risk, as long as the model is large enough",B
24,CI/CD,Hard,"In a mature DevSecOps pipeline, what does “shift-left” security mean?",Moving security testing earlier in the development lifecycle (design/code stage) rather than only at deployment,Moving all testing into production,Reducing the number of pipeline stages,Shifting all security responsibility to end users,A
